company_name,company_location,reporting_quarter,economic_condition_tag,revenue_growth,profit_margin,stock_price_change,past_layoffs,total_employees,job_title,tech_stack,role_demand_index,department_resilience_index,tech_stack_trend_score,years_at_company,salary_range,performance_rating,department,remote_work,role_layoff_rate,industry,industry_layoff_rate,unemployment_rate,inflation_rate
Tata Motors,Hyderabad,Q3 2025,Stable,5.95,15.42,13.67,No,79815,Software Engineer,Python + FastAPI,7.76,8.79,7.38,3,1513876,3,Engineering,Yes,1.029,Manufacturing,1.29,5.34,5.33
Tata Motors,Bengaluru,Q2 2024,Recession,0.35,9.95,8.3,No,74319,Senior Software Engineer,.NET + Azure,7.91,7.84,7.09,3,2589757,4,Engineering,Yes,1.897,Manufacturing,2.55,6.12,5.82
Tata Consultancy Services (TCS),Noida,Q1 2025,Growth,12.26,19.26,22.88,No,537534,Project Manager,Program Planning + Risk Tracking,6.2,6.25,5.49,3,3585322,3,Management,Yes,1.898,Information Technology,0.87,6.21,5.39
Coforge,Mumbai,Q1 2025,Stable,7.92,18.69,11.97,No,27158,Project Manager,Agile + Jira + Stakeholder Management,6.37,6.03,6.48,3,3257541,3,Management,Yes,1.885,Information Technology,1.4,5.5,5.36
Wipro Limited,Coimbatore,Q3 2025,Stable,11.83,15.36,18.06,No,233578,Technical Lead,Kubernetes + AWS,7.76,8.94,8.34,6,2610190,4,Engineering,Yes,0.172,Information Technology,0.98,6.37,5.14
Infosys,Hyderabad,Q1 2023,Recovery,4.01,17.89,11.08,Yes,334407,DevOps Engineer,Linux + Ansible + Observability,8.55,7.35,7.34,10,3941005,3,Engineering,No,1.084,Information Technology,1.87,7.36,6.63
Mphasis,Mumbai,Q3 2024,Stable,14.12,19.71,24.04,No,34850,Software Engineer,Node.js + React,8.29,7.94,6.97,4,2108155,2,Engineering,Yes,1.753,Information Technology,1.09,5.55,5.29
Persistent Systems,Chennai,Q4 2023,Growth,13.89,19.83,17.11,Yes,26601,Senior Software Engineer,.NET + Azure,8.63,8.99,6.7,4,1903675,4,Engineering,No,1.263,Information Technology,1.29,7.03,6.04
HCL Technologies,Chennai,Q3 2025,Recovery,10.62,14.37,14.83,No,226636,Engineering Manager,Cloud Delivery + Program Governance,6.81,5.96,7.62,4,4901646,4,Management,Yes,1.114,Information Technology,1.61,5.45,4.98
Amazon Development Centre India Pvt Ltd,Pune,Q4 2025,Recovery,16.08,16.76,15.54,Yes,157856,Customer Success Manager,SaaS Onboarding + QBR Playbooks,5.77,4.99,5.96,5,2799549,3,Operations,Yes,3.481,E-commerce,2.27,5.81,5.15
Microsoft India,Kolkata,Q4 2024,Stable,15.12,25.54,17.32,Yes,21984,DevOps Engineer,Linux + Ansible + Observability,8.55,8.15,7.14,1,2228075,5,Engineering,Yes,1.203,Information Technology,1.68,6.39,5.46
Infosys,Bengaluru,Q1 2023,Recession,2.75,16.9,10.44,Yes,345002,Software Engineer,Node.js + React,7.89,7.94,7.11,8,1758517,4,Engineering,Yes,1.334,Information Technology,2.58,8.23,7.25
Accenture India Pvt Ltd,Ahmedabad,Q4 2025,Growth,9.33,19.47,17.52,Yes,244313,Project Manager,Program Planning + Risk Tracking,6.54,6.68,5.65,4,2709688,4,Management,No,1.701,Consulting,0.82,6.29,5.09
Persistent Systems,Kochi,Q4 2025,Stable,7.99,19.72,8.7,Yes,26139,DevOps Engineer,Terraform + CI/CD + GCP,7.85,8.27,7.8,11,3764036,5,Engineering,Yes,0.342,Information Technology,1.56,6.53,5.43
Mahindra & Mahindra,Chennai,Q2 2025,Growth,2.49,12.81,7.78,No,86092,Sales Executive,CRM + Sales Analytics,6.22,6.05,4.67,2,1376350,3,Sales,No,2.743,Manufacturing,0.7,5.72,5.41
Tata Motors,Pune,Q1 2024,Growth,4.77,12.59,17.15,No,81245,Product Manager,Product Analytics + SQL + A/B Testing,7.85,7.64,7.16,2,3458979,4,Product,Yes,1.029,Manufacturing,1.19,6.18,5.59
Accenture India Pvt Ltd,Pune,Q2 2023,Recovery,7.2,19.07,6.45,No,310739,Cloud Engineer,Azure + DevOps + IaC,8.62,7.81,8.05,1,2547743,2,Engineering,Yes,1.455,Consulting,1.5,6.91,6.68
Deloitte India,Bengaluru,Q4 2023,Recovery,2.83,14.7,0.8,No,117547,Project Manager,Agile + Jira + Stakeholder Management,6.86,6.12,6.57,3,4046199,3,Management,Yes,2.716,Consulting,1.76,5.7,5.85
IBM India,Gurugram,Q2 2023,Stable,7.82,14.03,17.25,No,145419,Senior Software Engineer,Java + Spring Boot,7.92,8.44,7.4,11,3923987,4,Engineering,Yes,0.755,Information Technology,1.06,7.52,6.63
Oracle Financial Services Software Ltd.,Chennai,Q1 2025,Stable,8.59,23.36,12.11,No,28156,Sales Executive,CRM + Sales Analytics,5.31,5.72,5.39,4,1271211,5,Sales,Yes,2.121,Financial Services,1.07,5.8,5.14
Bharti Airtel,Mumbai,Q4 2024,Stable,12.34,16.9,24.01,No,68034,Support Engineer,Application Support + Monitoring,5.5,7.77,5.72,6,1336654,5,IT,No,2.346,Telecommunications,1.69,5.63,5.58
Tata Consultancy Services (TCS),Mumbai,Q1 2024,Recovery,8.22,14.8,-1.49,Yes,660659,Engineering Manager,Cloud Delivery + Program Governance,6.7,6.19,6.63,3,4266237,2,Management,Yes,2.689,Information Technology,1.9,6.04,6.38
Tech Mahindra Ltd.,Chennai,Q3 2023,Recession,7.79,17.94,14.59,No,146713,Finance Analyst,SAP + Financial Modeling,6.02,5.33,5.2,2,1460724,3,Finance,Yes,3.754,Information Technology,2.29,7.57,6.17
Amazon Development Centre India Pvt Ltd,Bengaluru,Q4 2023,Growth,14.7,13.39,20.81,No,164017,Cybersecurity Analyst,VAPT + Incident Response,8.41,7.14,7.1,3,2402055,4,IT,Yes,1.098,E-commerce,1.53,6.49,6.45
Deloitte India,Pune,Q3 2023,Recovery,4.73,18.2,3.86,No,112330,Senior Software Engineer,Node.js + React,7.7,7.32,6.61,6,1867000,3,Engineering,Yes,1.672,Consulting,1.54,7.5,6.54
Fortis Healthcare,Hyderabad,Q3 2024,Growth,7.28,19.66,15.16,Yes,24167,UI/UX Designer,Figma + Design Systems,7.24,7.61,6.07,5,1544069,2,Product,Yes,1.979,Healthcare,0.32,5.27,5.56
ICICI Bank,Bengaluru,Q2 2023,Recovery,3.56,19.86,12.79,No,146003,Support Engineer,Application Support + Monitoring,4.96,7.59,5.28,1,1481119,4,IT,Yes,3.311,Financial Services,1.38,7.11,6.8
Persistent Systems,Chennai,Q1 2024,Recovery,9.2,17.4,14.21,No,30640,HR Specialist,People Analytics + HR Operations,5.88,4.41,5.42,6,1746958,3,HR,No,3.134,Information Technology,1.84,6.58,5.37
Tata Consultancy Services (TCS),Hyderabad,Q4 2024,Stable,12.56,17.97,5.17,Yes,540432,Site Reliability Engineer,AWS + Incident Response,9.03,8.47,7.03,2,2895044,4,Engineering,Yes,1.024,Information Technology,1.14,5.94,5.41
Tata Motors,Hyderabad,Q2 2024,Growth,8.19,13.3,16.96,Yes,72494,Cloud Engineer,GCP + Docker + Networking,8.68,8.75,7.12,3,2372818,5,Engineering,No,0.685,Manufacturing,0.98,5.42,5.47
Infosys,Hyderabad,Q1 2023,Recovery,6.58,14.91,4.15,Yes,344667,Senior Software Engineer,.NET + Azure,7.28,7.38,6.8,6,3224858,4,Engineering,No,2.249,Information Technology,1.58,8.01,6.77
HDFC Bank,Kochi,Q1 2023,Recovery,5.88,17.21,-0.5,No,180914,Support Engineer,ITSM + Linux + SQL,6.43,7.16,5.95,6,1219586,4,IT,Yes,1.747,Financial Services,1.28,8.6,7.13
